,sexo,idade,altura,peso,historico_obesidade_familia,consome_comida_calorica,consome_vegetais,n_refeicoes,come_entre_refeicoes,fuma,consumo_diario_agua,frequencia_atividade_fisica,tempo_usando_eletronicos,consumo_alcool,tipo_transporte
0,0.0,23.384374,1.725587,82.480214,1.0,1.0,2.712747,2.853676,2.0,0.0,1.526313,1.0,0.173665,2.0,1.0
1,1.0,19.0,1.69,70.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0
2,1.0,39.170029,1.688354,79.278896,1.0,1.0,3.0,3.0,2.0,0.0,2.994515,0.0,0.0,0.0,0.0
3,0.0,20.31094,1.849425,85.228116,1.0,1.0,2.146598,3.0,2.0,0.0,2.100112,1.17116,0.833761,2.0,1.0
4,1.0,17.992717,1.618683,67.193585,1.0,1.0,1.952987,1.0,2.0,0.0,1.334856,0.732276,1.890214,0.0,1.0
5,0.0,22.0,1.61,67.0,1.0,0.0,2.0,4.0,2.0,0.0,3.0,2.0,0.8192767680336626,2.0,1.0
6,0.0,27.0,1.7,78.0,1.0,1.0,3.0,3.0,2.0,0.0,3.0,1.0,1.0,3.0,1.0
7,0.0,24.362124,1.716677,85.261339,1.0,1.0,2.0,2.676148,2.0,0.0,2.083939,0.632164,0.993786,2.0,1.0
8,1.0,22.591026,1.650012,87.676154,1.0,1.0,2.983851,1.068443,2.0,0.0,2.854161,1.103209,1.0,0.0,1.0
9,0.0,18.260079,1.801848,104.741914,1.0,1.0,2.0,3.0,2.0,0.0,3.0,1.783858,0.0,0.0,1.0
10,1.0,17.0,1.7,56.0,1.0,1.0,1.0,3.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0
11,0.0,56.0,1.79,90.0,1.0,0.0,2.0,3.0,2.0,1.0,2.0,1.0,0.0,3.0,0.0
12,0.0,19.084317,1.851123,61.264785,1.0,1.0,3.0,3.994588,2.0,0.0,2.548527,1.285976,0.267076,2.0,0.0
13,1.0,17.000433,1.584951,44.411801,0.0,1.0,2.737762,3.0,2.0,0.0,2.310921,2.240714,1.59257,2.0,1.0
14,0.0,21.962426,1.696336,75.0,1.0,1.0,2.0,3.0,2.0,0.0,1.825629,0.699592,0.142056,2.0,1.0
15,0.0,24.82929,1.755967,112.256165,1.0,1.0,1.369529,3.0,2.0,0.0,2.0,1.596576,0.0026,2.0,1.0
16,1.0,25.989938,1.644199,105.036075,1.0,1.0,3.0,3.0,2.0,0.0,2.310076,0.07115,0.733085,2.0,1.0
17,0.0,24.657598,1.7088,83.520113,1.0,1.0,2.689577,2.714115,2.0,0.0,2.279214,0.970661,0.828549,2.0,1.0
18,1.0,21.394047,1.792933,137.832414,1.0,1.0,3.0,3.0,2.0,0.0,2.682909,1.318743,0.900497,2.0,1.0
19,1.0,18.863875,1.560029,71.728069,1.0,0.0,3.0,3.339914,2.0,0.0,2.0,1.0,1.0,2.0,1.0
20,1.0,27.0,1.55,65.8168901120329,0.0,1.0,2.0,3.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0
21,1.0,18.603496,1.681719,90.671871,1.0,1.0,1.524428,3.0,2.0,0.0,1.383831,0.130417,1.0,2.0,1.0
22,1.0,25.919571,1.610488,102.174953,1.0,1.0,3.0,3.0,2.0,0.0,1.032834,0.04525,0.922749,2.0,1.0
23,0.0,38.0,1.75,95.3694030595058,1.0,0.0,3.0,3.0,3.0,0.0,1.0,2.0,1.0,0.0,0.0
24,1.0,22.836315,1.604893,82.0,1.0,1.0,1.00876,1.0,2.0,0.0,2.0,0.0,0.585912,2.0,1.0
25,0.0,17.888073,1.841879,60.0,1.0,1.0,3.0,3.732126,2.0,0.0,2.0,2.000934,0.384662,0.0,0.0
26,1.0,18.0,1.6,55.0,0.0,1.0,2.0,4.0,3.0,0.0,2.0,2.0,1.0,2.0,1.0
27,0.0,17.06713,1.896734,59.895052,1.0,1.0,2.842102,3.34175,2.0,0.0,2.0,2.511157,0.560351,0.0,0.0
28,1.0,19.633898,1.66084,49.039794,0.0,0.0,2.750715,3.0,3.0,0.0,1.8916062205274926,1.067817,1.0,2.0,1.0
29,0.0,23.0,1.718981,81.66995,1.0,1.0,2.0,1.729553,2.0,0.0,1.400247,0.887923,1.011983,2.0,1.0
30,0.0,26.011928,1.777251,106.452367,1.0,1.0,3.0,3.0,2.0,0.0,1.911379,1.911096,1.032392,2.0,1.0
