sexo,idade,altura,peso,historico_obesidade_familia,consome_comida_calorica,consome_vegetais,n_refeicoes,come_entre_refeicoes,fuma,consumo_diario_agua,frequencia_atividade_fisica,tempo_usando_eletronicos,consumo_alcool,tipo_transporte
M,23.384374,1.725587,82.480214,sim,sim,2.712747,2.853676,,nao,1.526313,1.0,0.173665,as vezes,transporte publico
F,19.0,1.69,70.0,sim,nao,2.0,1.0,nao,nao,2.0,2.0,0.0,nao,transporte publico
F,39.170029,1.688354,79.278896,sim,sim,3.0,3.0,as vezes,nao,2.994515,0.0,0.0,nao,carro
M,20.31094,1.849425,85.228116,sim,sim,2.146598,3.0,as vezes,nao,2.100112,1.17116,0.833761,,transporte publico
F,17.992717,1.618683,67.193585,sim,sim,1.952987,1.0,as vezes,nao,1.334856,0.732276,1.890214,nao,transporte publico
M,22.0,1.61,67.0,sim,nao,2.0,4.0,as vezes,nao,3.0,2.0,,as vezes,transporte publico
M,27.0,1.7,78.0,,sim,3.0,3.0,as vezes,nao,3.0,1.0,1.0,frequentemente,transporte publico
M,24.362124,1.716677,85.261339,sim,sim,2.0,2.676148,as vezes,nao,2.083939,0.632164,0.993786,as vezes,transporte publico
F,22.591026,1.650012,87.676154,sim,sim,2.983851,1.068443,as vezes,nao,2.854161,1.103209,1.0,nao,transporte publico
M,18.260079,1.801848,104.741914,sim,sim,2.0,3.0,as vezes,nao,3.0,1.783858,0.0,nao,transporte publico
F,17.0,1.7,56.0,sim,sim,1.0,3.0,as vezes,nao,1.0,1.0,1.0,nao,carro
M,56.0,1.79,90.0,sim,nao,2.0,3.0,as vezes,sim,2.0,1.0,0.0,frequentemente,carro
M,19.084317,1.851123,61.264785,sim,sim,3.0,3.994588,as vezes,nao,2.548527,1.285976,0.267076,as vezes,carro
F,17.000433,1.584951,44.411801,nao,sim,2.737762,3.0,as vezes,nao,2.310921,2.240714,1.59257,as vezes,transporte publico
M,21.962426,1.696336,75.0,sim,sim,2.0,3.0,as vezes,nao,1.825629,0.699592,0.142056,as vezes,transporte publico
M,24.82929,1.755967,112.256165,sim,sim,1.369529,3.0,as vezes,nao,2.0,1.596576,0.0026,as vezes,transporte publico
F,25.989938,1.644199,105.036075,sim,sim,3.0,3.0,as vezes,nao,2.310076,0.07115,0.733085,as vezes,transporte publico
M,24.657598,1.7088,83.520113,,sim,2.689577,2.714115,as vezes,nao,2.279214,0.970661,0.828549,as vezes,transporte publico
F,21.394047,1.792933,137.832414,sim,sim,3.0,3.0,as vezes,nao,2.682909,1.318743,0.900497,as vezes,transporte publico
F,18.863875,1.560029,71.728069,sim,nao,3.0,3.339914,as vezes,nao,2.0,1.0,1.0,as vezes,transporte publico
F,27.0,1.55,,nao,sim,2.0,3.0,as vezes,nao,1.0,0.0,1.0,as vezes,carro
